fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231110 222358	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.0542385168399316	0.431397773308807	591	17790	12623	130508465.267366	53
20231110 222608	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.208133483104595	0.825769254256458	476	25703	13703	134952783.108446	54
20231110 223027	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	68	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.292584482029614	0.482223978739054	641	16761	14378	133692450.774613	55
20231110 223326	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	229	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.261805158009201	0.987108550002591	56	34550	12599	140942012.493753	56
20231110 223701	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	159	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.266665193726383	0.204991434051403	322	19310	11370	134184192.903548	57
20231110 224339	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	445	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.222836647749735	0.37591561376959	858	38330	15455	135626994.002999	58
20231110 224800	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	348	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.281620944921634	0.178017702848241	942	33067	14578	135820366.816592	59
20231110 225327	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	342	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.134567288599088	0.290479267246837	788	30944	12462	139577754.122939	60
20231110 225705	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	399	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.203521060787276	0.819692061895649	688	41837	15203	141976781.109445	61
20231110 225906	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.215102299533775	0.911765012787635	41	37770	13182	136475785.107446	62
20231110 230428	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	845	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.272296064612712	0.0829310076578426	846	33897	13250	134436346.826587	63
20231110 231232	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	738	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.158303364262315	0.285418734206314	676	29508	12930	138385872.063968	64
20231110 231733	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.295310677240635	0.512465270814729	233	12800	15145	122752556.221889	65
20231110 232116	610	976271	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	305	1	1	1	FALSE	1	0.1	50	0.5	TRUE	997751	0.217782602149765	0.69373934847379	30	14089	15099	135774186.406797	66
